model,input_size,augmentation,lr,train_frac,n_train,n_params,best_epoch,total_epochs,total_time_s,test_mae,test_rmse,test_r2
resnet18,128,False,0.001,0.25,175,11177025,8,15,6.3,245.8307,338.7988,-0.596773
resnet18,128,True,0.001,0.25,175,11177025,15,20,7.9,185.5161,266.7859,0.009887
resnet18,224,False,0.001,0.25,175,11177025,5,12,8.9,244.6968,335.6522,-0.56725
resnet18,224,True,0.001,0.25,175,11177025,5,12,9.1,213.949,313.4053,-0.366381
resnet18,320,False,0.001,0.25,175,11177025,10,17,16.5,201.1769,284.407,-0.125226
resnet18,320,True,0.001,0.25,175,11177025,20,20,19.3,200.0312,296.4306,-0.222378
efficientnet_b0,128,False,0.001,0.25,175,4008829,6,13,6.5,258.8505,350.2798,-0.706826
efficientnet_b0,128,True,0.001,0.25,175,4008829,15,20,9.6,265.5342,365.3595,-0.856949
efficientnet_b0,224,False,0.001,0.25,175,4008829,7,14,13.5,248.9497,341.9206,-0.626334
efficientnet_b0,224,True,0.001,0.25,175,4008829,18,20,19.6,259.4116,365.3609,-0.856964
efficientnet_b0,320,False,0.001,0.25,175,4008829,18,20,30.0,217.3803,306.678,-0.308352
efficientnet_b0,320,True,0.001,0.25,175,4008829,9,16,24.6,228.6477,327.2182,-0.489478
mobilenet_v3_small,128,False,0.001,0.25,175,1518881,19,20,8.2,140.9979,210.2553,0.385031
mobilenet_v3_small,128,True,0.001,0.25,175,1518881,11,18,7.1,158.6076,234.8563,0.232703
mobilenet_v3_small,224,False,0.001,0.25,175,1518881,8,15,8.2,153.4711,217.156,0.344001
mobilenet_v3_small,224,True,0.001,0.25,175,1518881,9,16,8.4,160.9182,242.556,0.181567
mobilenet_v3_small,320,False,0.001,0.25,175,1518881,17,20,10.5,162.3823,225.5588,0.292252
mobilenet_v3_small,320,True,0.001,0.25,175,1518881,10,17,9.8,176.0364,251.6808,0.118831
resnet18,128,False,0.001,0.5,350,11177025,19,20,12.6,132.5509,191.5327,0.489677
resnet18,128,True,0.001,0.5,350,11177025,15,20,12.7,144.8001,207.7133,0.399811
resnet18,224,False,0.001,0.5,350,11177025,7,14,16.6,134.809,200.4589,0.441003
resnet18,224,True,0.001,0.5,350,11177025,16,20,24.2,143.1779,222.728,0.309905
resnet18,320,False,0.001,0.5,350,11177025,20,20,32.5,140.7021,201.8336,0.433309
resnet18,320,True,0.001,0.5,350,11177025,20,20,33.2,139.3857,203.62,0.423233
efficientnet_b0,128,False,0.001,0.5,350,4008829,8,15,12.2,207.8891,289.1457,-0.163035
efficientnet_b0,128,True,0.001,0.5,350,4008829,11,18,14.7,202.1423,285.0434,-0.130267
efficientnet_b0,224,False,0.001,0.5,350,4008829,19,20,34.1,192.254,270.7737,-0.019934
efficientnet_b0,224,True,0.001,0.5,350,4008829,18,20,33.5,184.3746,253.9488,0.102878
efficientnet_b0,320,False,0.001,0.5,350,4008829,19,20,52.3,174.1274,249.8768,0.131418
efficientnet_b0,320,True,0.001,0.5,350,4008829,8,15,40.8,208.3295,299.6522,-0.249091
mobilenet_v3_small,128,False,0.001,0.5,350,1518881,12,19,11.6,140.1957,225.3859,0.293336
mobilenet_v3_small,128,True,0.001,0.5,350,1518881,8,15,9.0,147.9305,221.4201,0.317986
mobilenet_v3_small,224,False,0.001,0.5,350,1518881,6,13,10.6,174.0894,245.4662,0.161809
mobilenet_v3_small,224,True,0.001,0.5,350,1518881,9,16,13.2,163.1451,230.7272,0.259446
mobilenet_v3_small,320,False,0.001,0.5,350,1518881,6,13,9.8,144.5491,214.039,0.362698
mobilenet_v3_small,320,True,0.001,0.5,350,1518881,9,16,13.0,144.6777,219.9559,0.326976
resnet18,128,False,0.001,0.75,525,11177025,20,20,17.4,132.6436,186.8207,0.514478
resnet18,128,True,0.001,0.75,525,11177025,19,20,17.7,144.1311,217.641,0.341068
resnet18,224,False,0.001,0.75,525,11177025,19,20,33.3,125.9519,188.559,0.5054
resnet18,224,True,0.001,0.75,525,11177025,17,20,33.7,137.8432,196.2615,0.464167
resnet18,320,False,0.001,0.75,525,11177025,18,20,46.0,140.8887,208.3435,0.396164
resnet18,320,True,0.001,0.75,525,11177025,19,20,46.8,142.5771,199.1085,0.448508
efficientnet_b0,128,False,0.001,0.75,525,4008829,5,12,13.3,215.6933,297.9227,-0.234714
efficientnet_b0,128,True,0.001,0.75,525,4008829,13,20,21.9,176.3202,232.7472,0.246422
efficientnet_b0,224,False,0.001,0.75,525,4008829,11,18,41.2,185.2984,264.8357,0.024309
efficientnet_b0,224,True,0.001,0.75,525,4008829,16,20,46.3,162.1033,228.1985,0.27559
efficientnet_b0,320,False,0.001,0.75,525,4008829,20,20,75.3,171.7863,239.6808,0.200854
efficientnet_b0,320,True,0.001,0.75,525,4008829,18,20,76.6,167.4247,231.1396,0.256796
mobilenet_v3_small,128,False,0.001,0.75,525,1518881,15,20,16.2,137.0654,192.15,0.486382
mobilenet_v3_small,128,True,0.001,0.75,525,1518881,9,16,13.3,136.1714,211.0488,0.380381
mobilenet_v3_small,224,False,0.001,0.75,525,1518881,4,11,12.7,152.4577,216.7311,0.346566
mobilenet_v3_small,224,True,0.001,0.75,525,1518881,5,12,14.1,154.4169,217.9934,0.338932
mobilenet_v3_small,320,False,0.001,0.75,525,1518881,17,20,21.4,150.3737,206.3244,0.407811
mobilenet_v3_small,320,True,0.001,0.75,525,1518881,8,15,18.4,153.6713,236.5015,0.221915
resnet18,128,False,0.001,1.0,700,11177025,15,20,24.4,124.9303,181.5404,0.541536
resnet18,128,True,0.001,1.0,700,11177025,20,20,24.7,143.1264,202.8956,0.42733
resnet18,224,False,0.001,1.0,700,11177025,15,20,48.5,125.9643,193.6808,0.478166
resnet18,224,True,0.001,1.0,700,11177025,14,20,47.3,147.4335,200.5989,0.440221
resnet18,320,False,0.001,1.0,700,11177025,14,20,58.4,139.4286,207.8652,0.398933
resnet18,320,True,0.001,1.0,700,11177025,15,20,60.9,148.8669,202.3896,0.430183
efficientnet_b0,128,False,0.001,1.0,700,4008829,19,20,27.6,159.5996,225.784,0.290838
efficientnet_b0,128,True,0.001,1.0,700,4008829,20,20,27.9,170.4264,251.2142,0.122095
efficientnet_b0,224,False,0.001,1.0,700,4008829,20,20,59.8,141.7858,208.9248,0.392789
efficientnet_b0,224,True,0.001,1.0,700,4008829,16,20,60.7,153.0158,231.0211,0.257558
efficientnet_b0,320,False,0.001,1.0,700,4008829,20,20,98.7,133.8098,204.6267,0.417516
efficientnet_b0,320,True,0.001,1.0,700,4008829,20,20,99.9,144.5232,211.0972,0.380096
mobilenet_v3_small,128,False,0.001,1.0,700,1518881,14,20,20.5,138.9013,195.7783,0.466802
mobilenet_v3_small,128,True,0.001,1.0,700,1518881,6,13,13.7,165.3548,226.7424,0.284805
mobilenet_v3_small,224,False,0.001,1.0,700,1518881,3,10,14.5,147.6639,217.1119,0.344268
